sample,image,grid,magnification
WM4237_T0_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#197_TO_4_5_22__20221214_115936_cut_level_0_oid_2.tiff,,40
WM4237_T0_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#197_T0_4_21_22__20221214_122004_cut_level_0_oid_0.tiff,,40
WM4237_T1_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#229_T1_4_21_22__20221214_121626_cut_level_0_oid_0.tiff,,40
WM4237_T1_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#229_T1_Day_14_4_7_22__20221214_120033_cut_level_0_oid_0.tiff,,40
WM4237_T2_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#211_T2_4_21_22__20221214_122025_cut_level_0_oid_0.tiff,,40
WM4237_T2_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#211_T2_Day_42_4_7_22__20221214_120136_cut_level_0_oid_0.tiff,,40
WM4237_T3_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#221_T3_4_21_22__20221214_122137_cut_level_0_oid_0.tiff,,40
WM4237_T3_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#221_T3_Day_70_4_7_22__20221214_120507_cut_level_0_oid_0.tiff,,40
WM4237_T4_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#214_T4_4_21_22__20221214_122218_cut_level_0_oid_0.tiff,,40
WM4237_T4_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#214_T4_Day_94_4_7_22__20221214_120929_cut_level_0_oid_0.tiff,,40
WM4237_TC_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#207_CTRL_4_21_22__20221214_122333_cut_level_0_oid_0.tiff,,40
WM4237_TC_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#207_CTRL_Day_42_4_7_22__20221215_085145_cut_level_0_oid_0.tiff,,40
WM4237_TE_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#200_CTRL_4_7_22__20221214_121604_cut_level_0_oid_0.tiff,,40
WM4237_TE_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4237_2/WM4237_#200_CTRL_4_7_22__20221215_085453_cut_level_0_oid_0.tiff,,40
